lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,2249,488.8428039550781,2244.88623046875,1756.04345703125,0.1118878573179245,0.0,-0.005302306730300188,0.0,0.0,-0.4930657744407654,-0.49030590057373047,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2299,476.2134704589844,2128.718994140625,1652.5054931640625,0.10570474714040756,0.0,-0.00541809294372797,0.0,0.0,-0.4661999046802521,-0.46275967359542847,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2349,480.566650390625,2131.62841796875,1651.061767578125,0.10571995377540588,0.0,-0.005533803254365921,0.0,0.0,-0.49401143193244934,-0.4909611940383911,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2399,489.3085021972656,2157.884765625,1668.576171875,0.106885626912117,0.0,-0.005649365484714508,0.0,0.0,-0.48750120401382446,-0.48577314615249634,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2447,,,,,,,,,,,5,482.4615478515625,2159.15283203125,1676.69091796875,0.10706031322479248,0.0,-0.005290689878165722,0.0,0.0,-0.4896236062049866,-0.48991838097572327,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2449,468.60772705078125,2097.178955078125,1628.5712890625,0.10456053912639618,0.0,-0.0057649617083370686,0.0,0.0,-0.46230775117874146,-0.4693596363067627,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2499,483.68414306640625,2141.667236328125,1657.983154296875,0.1064479798078537,0.0,-0.0058805327862501144,0.0,0.0,-0.4730721712112427,-0.4738796651363373,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2549,478.0240478515625,2073.837890625,1595.813720703125,0.1027785986661911,0.0,-0.005995966959744692,0.0,0.0,-0.4878099262714386,-0.4838944971561432,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2599,477.14715576171875,2074.20556640625,1597.058349609375,0.10295671969652176,0.0,-0.006111133377999067,0.0,0.0,-0.490817666053772,-0.48970723152160645,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2649,481.5451354980469,2117.76171875,1636.216552734375,0.10543447732925415,0.0,-0.0062262569554150105,0.0,0.0,-0.4813995957374573,-0.4826335310935974,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2699,486.44866943359375,2136.417724609375,1649.9691162109375,0.1063709631562233,0.0,-0.006341550033539534,0.0,0.0,-0.49617475271224976,-0.504615306854248,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2749,479.91400146484375,2072.25537109375,1592.34130859375,0.1029784306883812,0.0,-0.006456676404923201,0.0,0.0,-0.49837398529052734,-0.4980904757976532,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2799,487.40655517578125,2042.90576171875,1555.499267578125,0.10084695369005203,0.0,-0.006571729201823473,0.0,0.0,-0.4934203028678894,-0.4884839653968811,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2849,472.61737060546875,2052.19189453125,1579.574462890625,0.10240931063890457,0.0,-0.00668683834373951,0.0,0.0,-0.4692362844944,-0.4661545157432556,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
